"AFF","Agriculture, forestry and fishing",no,?,?,?,?,?
"BANKING","Banking, financial services",no,?,?,?,?,?
"COMMS","Communications - telephone, fax, email",no,?,?,?,?,?
"COMPUTER","Computer Manufacturer",no,?,?,?,?,?
"CONSTRUC","Construction",no,?,?,?,?,?
"EDUCATN","Schools, Colleges etc",no,?,?,?,?,?
"ENGINEER","Engineering - metal goods, vehicles, electronics etc",no,?,?,?,?,?
"GOV","Government (Local or National)",no,?,?,?,?,?
"HEALTH","Doctors, hospitals",no,?,?,?,?,?
"HOTEL","Hotels, guest houses etc",no,?,?,?,?,?
"INSURANC","Insurance industry",no,?,?,?,?,?
"MANUFACT","Other manufacturing indutries",no,?,?,?,?,?
"MINE","Mining, chemicals, metals and minerals",no,?,?,?,?,?
"MISSION","Missionary Organisation",no,?,?,?,?,?
"OTHER","Anything not otherwise represented",no,?,?,?,?,?
"P-CHURCH","Para-Church Organisation",no,?,?,?,?,?
"PRINTER","Printer",no,?,?,?,?,?
"RETAIL","Shops and stores",no,?,?,?,?,?
"SHIPPER","Post Office/Overnight/2-4 Class Shipping",no,?,?,?,?,?
"SUPPLIER","Office/Business/Miscellaneous supplies",no,?,?,?,?,?
"TRANSPRT","Transport operators, Distribution",no,?,?,?,?,?
"UNKNOWN","Unknown",no,?,?,?,?,?
"UTILITY","Energy and Water Supply",no,?,?,?,?,?
"WHITEGDS","Electrical Consumer products",no,?,?,?,?,?
