CONFERENCE,Conference Module,20020514,SYSADMIN,?,?,?
DEVADMIN,Development Administrative Access,20090316,SYSADMIN,?,?,?
DEVUSER,Development User,20000811,SYSADMIN,?,?,?
FIN-EX-RATE,Finance Exchange Rates,20000811,SYSADMIN,?,?,?
FINANCE-1,Finance - Basic User,19980101,SYSADMIN,19990514,SYSADMIN,?
FINANCE-2,Finance - Intermediate User,19980101,SYSADMIN,19990514,SYSADMIN,?
FINANCE-3,Finance - Advanced User,19980101,SYSADMIN,19990514,SYSADMIN,?
PERSONNEL,Personnel Module,19980101,SYSADMIN,19990514,SYSADMIN,?
PERSADMIN,Personnel Administrative Access,19980101,SYSADMIN,19990514,SYSADMIN,?
PTNRADMIN,Partner Administrative Access,19980101,SYSADMIN,19990514,SYSADMIN,?
PTNRUSER,Partner User Level Access,19980101,SYSADMIN,19990514,SYSADMIN,?
SYSMAN,System manager,19980101,SYSADMIN,19990514,SYSADMIN,?
