1000000,CM-FIELD-WEBMASTER,O,11,Short Term,2004-6-28,2004-7-1,0,0,1,0,0,false,None,None,false,0,false,?,?,?,?,?
1000000,FIN-FIELD-ACCOUNTANT,O,1,Long Term,2002-5-1,?,1,1,0,0,0,true,One month,Three months,false,0,false,?,?,?,?,?
1000000,OFF-MANAGER,O,22,Long Term,2007-6-1,2009-6-1,0,0,1,0,0,false,None,None,false,0,false,?,?,?,?,?
1000000,OFF-RECEPTIONIST,O,23,Long Term,2007-6-1,2009-6-1,0,0,1,0,0,false,None,None,false,0,false,?,?,?,?,?
1000000,FIN-FIELD-ACCOUNTANT,O,2,Long Term,2002-5-4,?,1,1,0,1,0,true,One month,Two years,false,1,false,?,?,?,?,?
1000000,IT-FIELD-IT-SYSADMIN,O,3,Global Action,2002-3-15,?,1,0,0,1,0,true,One month,Six months,false,1,false,?,?,?,?,?
1000000,LDR-FIELD-LEADER,O,4,Long Term,2001-12-25,?,1,1,0,0,0,false,One month,Two years,false,1,true,?,?,?,?,?
1000000,MIN-STDNT-EVAN,O,5,Global Action,2002-5-4,2002-5-24,2,6,0,0,0,false,One month,Six months,false,3,false,?,?,?,?,?
1000000,MIN-URBAN-EVAN,O,9,Short Term,?,?,0,0,0,0,0,true,One month,Three months,false,0,true,?,?,?,?,?
1000000,TRA-AREA-TRA-OFF,O,10,Long Term,2004-7-1,2005-5-31,0,0,1,0,0,false,None,None,false,0,false,?,?,?,?,?
1000000,CM-FIELD-WEBMASTER,O,14,Short Term,2004-7-1,2004-7-31,0,0,0,0,0,false,One month,Three months,false,0,false,?,?,?,?,?
1000000,CM-INT-INFO-MANAGER,O,13,Short Term,2004-7-1,2005-6-30,0,0,1,0,0,false,None,None,false,0,false,?,?,?,?,?
1000000,FIN-AUDITOR,O,12,Short Term,2004-7-1,2005-6-30,0,0,1,0,0,false,None,None,false,0,false,?,?,?,?,?
1000000,LDR-TEAM-LEADER,O,18,Long Term,2002-1-1,2006-12-31,1,1,0,0,0,false,One month,One year,false,0,true,?,?,?,?,?
1000000,MIN-BIBLE-TEACH,O,19,Short Term,2002-1-1,2004-8-31,0,0,1,0,0,false,None,None,false,0,false,?,?,?,?,?
1000000,MIN-CHILD-EVAN,O,15,Short Term,2004-7-1,2004-9-30,0,0,1,0,0,false,None,None,false,0,false,?,?,?,?,?
1000000,MIN-MUSICIAN,O,20,Short Term,2002-1-1,2004-8-31,0,0,1,0,0,false,None,None,false,0,false,?,?,?,?,?
1000000,PEO-DENTIST,O,24,Long Term,2007-4-30,2009-4-29,0,0,1,0,0,false,None,None,false,0,false,?,?,?,?,?
1000000,PEO-RELIEF-WORK,O,17,Short Term,2004-6-30,2009-5-2,2,2,1,0,0,false,None,None,false,0,false,?,?,?,?,?
1000000,PEO-TEACH-SECOND,O,16,Short Term,2003-7-1,2004-10-31,0,0,1,0,0,false,None,None,false,0,false,?,?,?,?,?
1000000,CM-FIELD-WEBMASTER,O,21,Long Term,2004-5-25,2006-4-24,0,0,1,0,0,false,None,None,false,0,false,?,?,?,?,?
1000000,COM-DATA-ENTRY,O,6,Short Term,2002-4-21,2003-9-13,1,0,0,0,0,false,One month,Three months,false,0,false,?,?,?,?,?
1000000,FIN-FIELD-ACCOUNTANT,O,7,Short Term,2002-5-1,?,2,0,0,0,0,false,One month,Three months,false,0,false,?,?,?,?,?
